"Pair.Name","Ligand.ApprovedSymbol","Receptor.ApprovedSymbol","Mouse_LigandSym","Mouse_RecSym","Mouse.Pairs"
"Adcyap1_Sctr","Adcyap1","Sctr","Adcyap1","Sctr","Adcyap1_Sctr"
"Adcyap1_Vipr1","Adcyap1","Vipr1","Adcyap1","Vipr1","Adcyap1_Vipr1"
"Adcyap1_Vipr2","Adcyap1","Vipr2","Adcyap1","Vipr2","Adcyap1_Vipr2"
"Adipoq_Adipor1","Adipoq","Adipor1","Adipoq","Adipor1","Adipoq_Adipor1"
"Adipoq_Adipor2","Adipoq","Adipor2","Adipoq","Adipor2","Adipoq_Adipor2"
"Adm2_Calcr","Adm2","Calcr","Adm2","Calcr","Adm2_Calcr"
"Adm2_Calcrl","Adm2","Calcrl","Adm2","Calcrl","Adm2_Calcrl"
"Adm2_Ramp1","Adm2","Ramp1","Adm2","Ramp1","Adm2_Ramp1"
"Adm_Calcr","Adm","Calcr","Adm","Calcr","Adm_Calcr"
"Adm_Calcrl","Adm","Calcrl","Adm","Calcrl","Adm_Calcrl"
"Adm_Gpr182","Adm","Gpr182","Adm","Gpr182","Adm_Gpr182"
"Adm_Mrgprx2","Adm","Mrgprx2","Adm","Mrgpra2a","Adm_Mrgpra2a"
"Adm_Mrgprx2","Adm","Mrgprx2","Adm","Mrgpra1","Adm_Mrgpra1"
"Adm_Mrgprx2","Adm","Mrgprx2","Adm","Mrgpra3","Adm_Mrgpra3"
"Adm_Mrgprx2","Adm","Mrgprx2","Adm","Mrgpra6","Adm_Mrgpra6"
"Adm_Mrgprx2","Adm","Mrgprx2","Adm","Mrgpra4","Adm_Mrgpra4"
"Adm_Mrgprx2","Adm","Mrgprx2","Adm","Mrgpra9","Adm_Mrgpra9"
"Adm_Mrgprx2","Adm","Mrgprx2","Adm","Mrgpra2b","Adm_Mrgpra2b"
"Adm_Ramp2","Adm","Ramp2","Adm","Ramp2","Adm_Ramp2"
"Agrn_Atp1a3","Agrn","Atp1a3","Agrn","Atp1a3","Agrn_Atp1a3"
"Agrn_Lrp4","Agrn","Lrp4","Agrn","Lrp4","Agrn_Lrp4"
"Agrn_Musk","Agrn","Musk","Agrn","Musk","Agrn_Musk"
"Agrp_Mc3r","Agrp","Mc3r","Agrp","Mc3r","Agrp_Mc3r"
"Agrp_Mc4r","Agrp","Mc4r","Agrp","Mc4r","Agrp_Mc4r"
"Agrp_Mc5r","Agrp","Mc5r","Agrp","Mc5r","Agrp_Mc5r"
"Agrp_Sdc3","Agrp","Sdc3","Agrp","Sdc3","Agrp_Sdc3"
"Agt_Agtr1","Agt","Agtr1","Agt","Agtr1b","Agt_Agtr1b"
"Agt_Agtr1","Agt","Agtr1","Agt","Agtr1a","Agt_Agtr1a"
"Agt_Agtr2","Agt","Agtr2","Agt","Agtr2","Agt_Agtr2"
"Agt_Lrp2","Agt","Lrp2","Agt","Lrp2","Agt_Lrp2"
"Agt_Mas1","Agt","Mas1","Agt","Mas1","Agt_Mas1"
"Ahsg_Insr","Ahsg","Insr","Ahsg","Insr","Ahsg_Insr"
"Alb_Lrp2","Alb","Lrp2","Alb","Lrp2","Alb_Lrp2"
"Alox5ap_Alox5","Alox5ap","Alox5","Alox5ap","Alox5","Alox5ap_Alox5"
"Amelx_Lamp1","Amelx","Lamp1","Amelx","Lamp1","Amelx_Lamp1"
"Amely_Lamp1","Amely","Lamp1","Amelx","Lamp1","Amelx_Lamp1"
"Amh_Acvr1","Amh","Acvr1","Amh","Acvr1","Amh_Acvr1"
"Amh_Amhr2","Amh","Amhr2","Amh","Amhr2","Amh_Amhr2"
"Amh_Egfr","Amh","Egfr","Amh","Egfr","Amh_Egfr"
"Angpt1_Itga5","Angpt1","Itga5","Angpt1","Itga5","Angpt1_Itga5"
"Angpt1_Itgb1","Angpt1","Itgb1","Angpt1","Itgb1","Angpt1_Itgb1"
"Angpt1_Tek","Angpt1","Tek","Angpt1","Tek","Angpt1_Tek"
"Angpt1_Tie1","Angpt1","Tie1","Angpt1","Tie1","Angpt1_Tie1"
"Angpt2_Tek","Angpt2","Tek","Angpt2","Tek","Angpt2_Tek"
"Angpt2_Tie1","Angpt2","Tie1","Angpt2","Tie1","Angpt2_Tie1"
"Angpt4_Tek","Angpt4","Tek","Angpt4","Tek","Angpt4_Tek"
"Angpt4_Tie1","Angpt4","Tie1","Angpt4","Tie1","Angpt4_Tie1"
"Angptl1_Tek","Angptl1","Tek","Angptl1","Tek","Angptl1_Tek"
"Angptl2_Tie1","Angptl2","Tie1","Angptl2","Tie1","Angptl2_Tie1"
"Angptl3_Itga5","Angptl3","Itga5","Angptl3","Itga5","Angptl3_Itga5"
"Angptl3_Itgav","Angptl3","Itgav","Angptl3","Itgav","Angptl3_Itgav"
"Angptl3_Itgb3","Angptl3","Itgb3","Angptl3","Itgb3","Angptl3_Itgb3"
"Angptl4_Tie1","Angptl4","Tie1","Angptl4","Tie1","Angptl4_Tie1"
"Anxa1_Dysf","Anxa1","Dysf","Anxa1","Dysf","Anxa1_Dysf"
"Anxa1_Egfr","Anxa1","Egfr","Anxa1","Egfr","Anxa1_Egfr"
"Anxa1_Fpr1","Anxa1","Fpr1","Anxa1","Fpr1","Anxa1_Fpr1"
"Anxa1_Fpr2","Anxa1","Fpr2","Anxa1","Fpr3","Anxa1_Fpr3"
"Anxa1_Fpr2","Anxa1","Fpr2","Anxa1","Fpr2","Anxa1_Fpr2"
"Anxa1_Fpr3","Anxa1","Fpr3","Anxa1","Fpr-rs3","Anxa1_Fpr-rs3"
"Anxa1_Fpr3","Anxa1","Fpr3","Anxa1","Fpr-rs4","Anxa1_Fpr-rs4"
"Anxa1_Fpr3","Anxa1","Fpr3","Anxa1","Fpr-rs7","Anxa1_Fpr-rs7"
"Anxa1_Fpr3","Anxa1","Fpr3","Anxa1","Fpr-rs6","Anxa1_Fpr-rs6"
"Apln_Aplnr","Apln","Aplnr","Apln","Aplnr","Apln_Aplnr"
"Apob_Calcr","Apob","Calcr","Apob","Calcr","Apob_Calcr"
"Apob_Itgam","Apob","Itgam","Apob","Itgam","Apob_Itgam"
"Apob_Itgam","Apob","Itgam","Apob","Itgam","Apob_Itgam"
"Apob_Itgb2","Apob","Itgb2","Apob","Itgb2l","Apob_Itgb2l"
"Apob_Itgb2","Apob","Itgb2","Apob","Itgb2","Apob_Itgb2"
"Apob_Ldlr","Apob","Ldlr","Apob","Ldlr","Apob_Ldlr"
"Apob_Lrp2","Apob","Lrp2","Apob","Lrp2","Apob_Lrp2"
"Apob_Lrp6","Apob","Lrp6","Apob","Lrp6","Apob_Lrp6"
"Apob_Lrp8","Apob","Lrp8","Apob","Lrp8","Apob_Lrp8"
"Apob_Lsr","Apob","Lsr","Apob","Lsr","Apob_Lsr"
"Apob_Olr1","Apob","Olr1","Apob","Olr1","Apob_Olr1"
"Apoc3_Sdc2","Apoc3","Sdc2","Apoc3","Sdc2","Apoc3_Sdc2"
"Apoc3_Tlr2","Apoc3","Tlr2","Apoc3","Tlr2","Apoc3_Tlr2"
"Apod_Lepr","Apod","Lepr","Apod","Lepr","Apod_Lepr"
"Apoe_Chrna4","Apoe","Chrna4","Apoe","Chrna4","Apoe_Chrna4"
"Apoe_Ldlr","Apoe","Ldlr","Apoe","Ldlr","Apoe_Ldlr"
"Apoe_Lrp1","Apoe","Lrp1","Apoe","Lrp1","Apoe_Lrp1"
"Apoe_Lrp2","Apoe","Lrp2","Apoe","Lrp2","Apoe_Lrp2"
"Apoe_Lrp5","Apoe","Lrp5","Apoe","Lrp5","Apoe_Lrp5"
"Apoe_Lrp8","Apoe","Lrp8","Apoe","Lrp8","Apoe_Lrp8"
"Apoe_Scarb1","Apoe","Scarb1","Apoe","Scarb1","Apoe_Scarb1"
"Apoe_Sorl1","Apoe","Sorl1","Apoe","Sorl1","Apoe_Sorl1"
"Apoe_Vldlr","Apoe","Vldlr","Apoe","Vldlr","Apoe_Vldlr"
"App_Cav1","App","Cav1","App","Cav1","App_Cav1"
"App_Cd74","App","Cd74","App","Cd74","App_Cd74"
"App_Fpr2","App","Fpr2","App","Fpr3","App_Fpr3"
"App_Fpr2","App","Fpr2","App","Fpr2","App_Fpr2"
"App_Gpc1","App","Gpc1","App","Gpc1","App_Gpc1"
"App_Lrp1","App","Lrp1","App","Lrp1","App_Lrp1"
"App_Ncstn","App","Ncstn","App","Ncstn","App_Ncstn"
"App_Ngfr","App","Ngfr","App","Ngfr","App_Ngfr"
"App_Slc45a3","App","Slc45a3","App","Slc45a3","App_Slc45a3"
"App_Tnfrsf21","App","Tnfrsf21","App","Tnfrsf21","App_Tnfrsf21"
"Aregb_Egfr","Aregb","Egfr",NA,"Egfr","NA_Egfr"
"Aregb_Erbb3","Aregb","Erbb3",NA,"Erbb3","NA_Erbb3"
"Areg_Egfr","Areg","Egfr","Mcub","Egfr","Mcub_Egfr"
"Areg_Erbb3","Areg","Erbb3","Mcub","Erbb3","Mcub_Erbb3"
"Arf1_Chrm3","Arf1","Chrm3",NA,"Chrm3","NA_Chrm3"
"Arf1_Insr","Arf1","Insr",NA,"Insr","NA_Insr"
"Arf1_Pld2","Arf1","Pld2",NA,"Pld2","NA_Pld2"
"Artn_Gfra1","Artn","Gfra1","Artn","Gfra1","Artn_Gfra1"
"Artn_Gfra3","Artn","Gfra3","Artn","Gfra3","Artn_Gfra3"
"Artn_Ret","Artn","Ret","Artn","Ret","Artn_Ret"
"Asip_Atrn","Asip","Atrn","a","Atrn","a_Atrn"
"Asip_F11r","Asip","F11r","a","F11r","a_F11r"
"Asip_Mc1r","Asip","Mc1r","a",NA,"a_NA"
"Asip_Mc2r","Asip","Mc2r","a","Mc2r","a_Mc2r"
"Asip_Mc3r","Asip","Mc3r","a","Mc3r","a_Mc3r"
"Asip_Mc4r","Asip","Mc4r","a","Mc4r","a_Mc4r"
"Asip_Mc5r","Asip","Mc5r","a","Mc5r","a_Mc5r"
"Asip_Mgrn1","Asip","Mgrn1","a","Mgrn1","a_Mgrn1"
"Avp_Avpr1a","Avp","Avpr1a","Avp","Avpr1a","Avp_Avpr1a"
"Avp_Avpr1b","Avp","Avpr1b","Avp","Avpr1b","Avp_Avpr1b"
"Avp_Avpr2","Avp","Avpr2","Avp","Avpr2","Avp_Avpr2"
"Avp_Oxtr","Avp","Oxtr","Avp","Oxtr","Avp_Oxtr"
"Azgp1_Itgav","Azgp1","Itgav","Azgp1","Itgav","Azgp1_Itgav"
"B2m_Cd1a","B2m","Cd1a","B2m",NA,"B2m_NA"
"B2m_Cd1b","B2m","Cd1b","B2m",NA,"B2m_NA"
"B2m_Cd247","B2m","Cd247","B2m","Cd247","B2m_Cd247"
"B2m_Cd3d","B2m","Cd3d","B2m","Cd3d","B2m_Cd3d"
"B2m_Cd3g","B2m","Cd3g","B2m","Cd3g","B2m_Cd3g"
"B2m_Hfe","B2m","Hfe","B2m","Hfe","B2m_Hfe"
"B2m_Hla-f","B2m","Hla-f","B2m","H2-Bl","B2m_H2-Bl"
"B2m_Hla-f","B2m","Hla-f","B2m","H2-Q2","B2m_H2-Q2"
"B2m_Hla-f","B2m","Hla-f","B2m","H2-T23","B2m_H2-T23"
"B2m_Hla-f","B2m","Hla-f","B2m","H2-K1","B2m_H2-K1"
"B2m_Hla-f","B2m","Hla-f","B2m","H2-Q5","B2m_H2-Q5"
"B2m_Hla-f","B2m","Hla-f","B2m","H2-M5","B2m_H2-M5"
"B2m_Hla-f","B2m","Hla-f","B2m","H2-Q1","B2m_H2-Q1"
"B2m_Hla-f","B2m","Hla-f","B2m","H2-M2","B2m_H2-M2"
"B2m_Hla-f","B2m","Hla-f","B2m","H2-M11","B2m_H2-M11"
"B2m_Hla-f","B2m","Hla-f","B2m","H2-D1","B2m_H2-D1"
"B2m_Hla-f","B2m","Hla-f","B2m","H2-Q6","B2m_H2-Q6"
"B2m_Hla-f","B2m","Hla-f","B2m","H2-Q7","B2m_H2-Q7"
"B2m_Hla-f","B2m","Hla-f","B2m","H2-Q4","B2m_H2-Q4"
"B2m_Hla-f","B2m","Hla-f","B2m","Gm8909","B2m_Gm8909"
"B2m_Hla-f","B2m","Hla-f","B2m","Gm7030","B2m_Gm7030"
"B2m_Hla-f","B2m","Hla-f","B2m","H2-M3","B2m_H2-M3"
"B2m_Hla-f","B2m","Hla-f","B2m","H2-M9","B2m_H2-M9"
"B2m_Hla-f","B2m","Hla-f","B2m","H2-M1","B2m_H2-M1"
"B2m_Hla-f","B2m","Hla-f","B2m","H2-Q10","B2m_H2-Q10"
"B2m_Hla-f","B2m","Hla-f","B2m","Gm11127","B2m_Gm11127"
"B2m_Hla-f","B2m","Hla-f","B2m","H2-T3","B2m_H2-T3"
"B2m_Kir2dl1","B2m","Kir2dl1","B2m","Kir3dl2","B2m_Kir3dl2"
"B2m_Kir2dl1","B2m","Kir2dl1","B2m","Kir3dl1","B2m_Kir3dl1"
"B2m_Kir2dl3","B2m","Kir2dl3","B2m","Kir3dl2","B2m_Kir3dl2"
"B2m_Kir2dl3","B2m","Kir2dl3","B2m","Kir3dl1","B2m_Kir3dl1"
"B2m_Kir3dl1","B2m","Kir3dl1","B2m","Kir3dl2","B2m_Kir3dl2"
"B2m_Kir3dl1","B2m","Kir3dl1","B2m","Kir3dl1","B2m_Kir3dl1"
"B2m_Klrc1","B2m","Klrc1","B2m","Klrc1","B2m_Klrc1"
"B2m_Klrc1","B2m","Klrc1","B2m","Klrc2","B2m_Klrc2"
"B2m_Klrc1","B2m","Klrc1","B2m","Klrc3","B2m_Klrc3"
"B2m_Klrd1","B2m","Klrd1","B2m","Klrd1","B2m_Klrd1"
"B2m_Lilrb1","B2m","Lilrb1","B2m",NA,"B2m_NA"
"B2m_Lilrb2","B2m","Lilrb2","B2m",NA,"B2m_NA"
"B2m_Tfrc","B2m","Tfrc","B2m","Tfrc","B2m_Tfrc"
"Bcan_Egfr","Bcan","Egfr","Bcan","Egfr","Bcan_Egfr"
"Bcan_Nrcam","Bcan","Nrcam","Bcan","Nrcam","Bcan_Nrcam"
"Bdnf_Ddr1","Bdnf","Ddr1","Bdnf","Ddr1","Bdnf_Ddr1"
"Bdnf_Drd4","Bdnf","Drd4","Bdnf","Drd4","Bdnf_Drd4"
"Bdnf_Ngfr","Bdnf","Ngfr","Bdnf","Ngfr","Bdnf_Ngfr"
"Bdnf_Ngfrap1","Bdnf","Ngfrap1","Bdnf",NA,"Bdnf_NA"
"Bdnf_Ntrk2","Bdnf","Ntrk2","Bdnf","Ntrk2","Bdnf_Ntrk2"
"Bdnf_Sort1","Bdnf","Sort1","Bdnf","Sort1","Bdnf_Sort1"
"Bgn_Ly96","Bgn","Ly96","Bgn","Ly96","Bgn_Ly96"
"Bgn_Tlr1","Bgn","Tlr1","Bgn","Tlr1","Bgn_Tlr1"
"Bgn_Tlr2","Bgn","Tlr2","Bgn","Tlr2","Bgn_Tlr2"
"Bgn_Tlr4","Bgn","Tlr4","Bgn","Tlr4","Bgn_Tlr4"
"Bmp10_Acvr1","Bmp10","Acvr1","Bmp10","Acvr1","Bmp10_Acvr1"
"Bmp10_Acvr2a","Bmp10","Acvr2a","Bmp10","Acvr2a","Bmp10_Acvr2a"
"Bmp10_Acvr2b","Bmp10","Acvr2b","Bmp10","Acvr2b","Bmp10_Acvr2b"
"Bmp10_Acvrl1","Bmp10","Acvrl1","Bmp10","Acvrl1","Bmp10_Acvrl1"
"Bmp10_Bmpr1a","Bmp10","Bmpr1a","Bmp10","Bmpr1a","Bmp10_Bmpr1a"
"Bmp10_Bmpr1b","Bmp10","Bmpr1b","Bmp10","Bmpr1b","Bmp10_Bmpr1b"
"Bmp10_Bmpr2","Bmp10","Bmpr2","Bmp10","Bmpr2","Bmp10_Bmpr2"
"Bmp10_Eng","Bmp10","Eng","Bmp10","Eng","Bmp10_Eng"
"Bmp15_Acvr1","Bmp15","Acvr1","Bmp15","Acvr1","Bmp15_Acvr1"
"Bmp15_Acvr2a","Bmp15","Acvr2a","Bmp15","Acvr2a","Bmp15_Acvr2a"
"Bmp15_Acvr2b","Bmp15","Acvr2b","Bmp15","Acvr2b","Bmp15_Acvr2b"
"Bmp15_Bmpr1a","Bmp15","Bmpr1a","Bmp15","Bmpr1a","Bmp15_Bmpr1a"
"Bmp15_Bmpr1b","Bmp15","Bmpr1b","Bmp15","Bmpr1b","Bmp15_Bmpr1b"
"Bmp15_Bmpr2","Bmp15","Bmpr2","Bmp15","Bmpr2","Bmp15_Bmpr2"
"Bmp2_Acvr1","Bmp2","Acvr1","Bmp2","Acvr1","Bmp2_Acvr1"
"Bmp2_Acvr2a","Bmp2","Acvr2a","Bmp2","Acvr2a","Bmp2_Acvr2a"
"Bmp2_Acvr2b","Bmp2","Acvr2b","Bmp2","Acvr2b","Bmp2_Acvr2b"
"Bmp2_Bmpr1a","Bmp2","Bmpr1a","Bmp2","Bmpr1a","Bmp2_Bmpr1a"
"Bmp2_Bmpr1b","Bmp2","Bmpr1b","Bmp2","Bmpr1b","Bmp2_Bmpr1b"
"Bmp2_Bmpr2","Bmp2","Bmpr2","Bmp2","Bmpr2","Bmp2_Bmpr2"
"Bmp2_Eng","Bmp2","Eng","Bmp2","Eng","Bmp2_Eng"
"Bmp2_Hfe2","Bmp2","Hfe2","Bmp2","Hfe2","Bmp2_Hfe2"
"Bmp3_Acvr1","Bmp3","Acvr1","Bmp3","Acvr1","Bmp3_Acvr1"
"Bmp3_Acvr2a","Bmp3","Acvr2a","Bmp3","Acvr2a","Bmp3_Acvr2a"
"Bmp3_Acvr2b","Bmp3","Acvr2b","Bmp3","Acvr2b","Bmp3_Acvr2b"
"Bmp3_Bmpr1a","Bmp3","Bmpr1a","Bmp3","Bmpr1a","Bmp3_Bmpr1a"
"Bmp3_Bmpr1b","Bmp3","Bmpr1b","Bmp3","Bmpr1b","Bmp3_Bmpr1b"
"Bmp3_Bmpr2","Bmp3","Bmpr2","Bmp3","Bmpr2","Bmp3_Bmpr2"
"Bmp4_Acvr1","Bmp4","Acvr1","Bmp4","Acvr1","Bmp4_Acvr1"
"Bmp4_Acvr2a","Bmp4","Acvr2a","Bmp4","Acvr2a","Bmp4_Acvr2a"
"Bmp4_Acvr2b","Bmp4","Acvr2b","Bmp4","Acvr2b","Bmp4_Acvr2b"
"Bmp4_Bmpr1a","Bmp4","Bmpr1a","Bmp4","Bmpr1a","Bmp4_Bmpr1a"
"Bmp4_Bmpr1b","Bmp4","Bmpr1b","Bmp4","Bmpr1b","Bmp4_Bmpr1b"
"Bmp4_Bmpr2","Bmp4","Bmpr2","Bmp4","Bmpr2","Bmp4_Bmpr2"
"Bmp4_Hfe2","Bmp4","Hfe2","Bmp4","Hfe2","Bmp4_Hfe2"
"Bmp5_Acvr1","Bmp5","Acvr1","Bmp5","Acvr1","Bmp5_Acvr1"
"Bmp5_Acvr2a","Bmp5","Acvr2a","Bmp5","Acvr2a","Bmp5_Acvr2a"
"Bmp5_Acvr2b","Bmp5","Acvr2b","Bmp5","Acvr2b","Bmp5_Acvr2b"
"Bmp5_Bmpr1a","Bmp5","Bmpr1a","Bmp5","Bmpr1a","Bmp5_Bmpr1a"
"Bmp5_Bmpr1b","Bmp5","Bmpr1b","Bmp5","Bmpr1b","Bmp5_Bmpr1b"
"Bmp5_Bmpr2","Bmp5","Bmpr2","Bmp5","Bmpr2","Bmp5_Bmpr2"
"Bmp5_Hfe2","Bmp5","Hfe2","Bmp5","Hfe2","Bmp5_Hfe2"
"Bmp6_Acvr1","Bmp6","Acvr1","Bmp6","Acvr1","Bmp6_Acvr1"
"Bmp6_Acvr2a","Bmp6","Acvr2a","Bmp6","Acvr2a","Bmp6_Acvr2a"
"Bmp6_Acvr2b","Bmp6","Acvr2b","Bmp6","Acvr2b","Bmp6_Acvr2b"
"Bmp6_Bmpr1a","Bmp6","Bmpr1a","Bmp6","Bmpr1a","Bmp6_Bmpr1a"
"Bmp6_Bmpr1b","Bmp6","Bmpr1b","Bmp6","Bmpr1b","Bmp6_Bmpr1b"
"Bmp6_Bmpr2","Bmp6","Bmpr2","Bmp6","Bmpr2","Bmp6_Bmpr2"
"Bmp7_Acvr1","Bmp7","Acvr1","Bmp7","Acvr1","Bmp7_Acvr1"
"Bmp7_Acvr2a","Bmp7","Acvr2a","Bmp7","Acvr2a","Bmp7_Acvr2a"
"Bmp7_Acvr2b","Bmp7","Acvr2b","Bmp7","Acvr2b","Bmp7_Acvr2b"
"Bmp7_Bmpr1a","Bmp7","Bmpr1a","Bmp7","Bmpr1a","Bmp7_Bmpr1a"
"Bmp7_Bmpr1b","Bmp7","Bmpr1b","Bmp7","Bmpr1b","Bmp7_Bmpr1b"
"Bmp7_Bmpr2","Bmp7","Bmpr2","Bmp7","Bmpr2","Bmp7_Bmpr2"
"Bmp7_Eng","Bmp7","Eng","Bmp7","Eng","Bmp7_Eng"
"Bmp8b_Acvr1","Bmp8b","Acvr1","Bmp8a","Acvr1","Bmp8a_Acvr1"
"Bmp8b_Acvr1","Bmp8b","Acvr1","Bmp8b","Acvr1","Bmp8b_Acvr1"
"Bmp8b_Acvr2a","Bmp8b","Acvr2a","Bmp8a","Acvr2a","Bmp8a_Acvr2a"
"Bmp8b_Acvr2a","Bmp8b","Acvr2a","Bmp8b","Acvr2a","Bmp8b_Acvr2a"
"Bmp8b_Acvr2b","Bmp8b","Acvr2b","Bmp8a","Acvr2b","Bmp8a_Acvr2b"
"Bmp8b_Acvr2b","Bmp8b","Acvr2b","Bmp8b","Acvr2b","Bmp8b_Acvr2b"
"Bmp8b_Bmpr1a","Bmp8b","Bmpr1a","Bmp8a","Bmpr1a","Bmp8a_Bmpr1a"
"Bmp8b_Bmpr1a","Bmp8b","Bmpr1a","Bmp8b","Bmpr1a","Bmp8b_Bmpr1a"
"Bmp8b_Bmpr1b","Bmp8b","Bmpr1b","Bmp8a","Bmpr1b","Bmp8a_Bmpr1b"
"Bmp8b_Bmpr1b","Bmp8b","Bmpr1b","Bmp8b","Bmpr1b","Bmp8b_Bmpr1b"
"Bmp8b_Bmpr2","Bmp8b","Bmpr2","Bmp8a","Bmpr2","Bmp8a_Bmpr2"
"Bmp8b_Bmpr2","Bmp8b","Bmpr2","Bmp8b","Bmpr2","Bmp8b_Bmpr2"
"Bst1_Cav1","Bst1","Cav1","Bst1","Cav1","Bst1_Cav1"
"Btc_Egfr","Btc","Egfr","Btc","Egfr","Btc_Egfr"
"Btc_Erbb2","Btc","Erbb2","Btc","Erbb2","Btc_Erbb2"
"Btc_Erbb3","Btc","Erbb3","Btc","Erbb3","Btc_Erbb3"
"Btc_Erbb4","Btc","Erbb4","Btc","Erbb4","Btc_Erbb4"
"Btla_Cd247","Btla","Cd247","Btla","Cd247","Btla_Cd247"
"Btla_Cd79a","Btla","Cd79a","Btla","Cd79a","Btla_Cd79a"
"Btla_Tnfrsf14","Btla","Tnfrsf14","Btla","Tnfrsf14","Btla_Tnfrsf14"
"Btla_Vtcn1","Btla","Vtcn1","Btla","Vtcn1","Btla_Vtcn1"
"C1qa_Cd93","C1qa","Cd93","C1qa","Cd93","C1qa_Cd93"
"C1qa_Cr1","C1qa","Cr1","C1qa",NA,"C1qa_NA"
"C1qa_Cspg4","C1qa","Cspg4","C1qa","Cspg4","C1qa_Cspg4"
"C1qb_Lrp1","C1qb","Lrp1","C1qb","Lrp1","C1qb_Lrp1"
"C1qtnf1_Avpr2","C1qtnf1","Avpr2","C1qtnf1","Avpr2","C1qtnf1_Avpr2"
"C1qtnf5_Mfrp","C1qtnf5","Mfrp","C1qtnf5","Mfrp","C1qtnf5_Mfrp"
"C1orf112_Plscr4","C1orf112","Plscr4","BC055324","Plscr4","BC055324_Plscr4"
"C1orf194_Plscr4","C1orf194","Plscr4","1700013F07Rik","Plscr4","1700013F07Rik_Plscr4"
"C1orf200_Ly6g6c","C1orf200","Ly6g6c",NA,"Ly6g6c","NA_Ly6g6c"
"C1orf200_Slc16a4","C1orf200","Slc16a4",NA,"Slc16a4","NA_Slc16a4"
"C3_C3ar1","C3","C3ar1","C3","C3ar1","C3_C3ar1"
"C3_C5ar2","C3","C5ar2","C3","C5ar2","C3_C5ar2"
"C3_Cd19","C3","Cd19","C3","Cd19","C3_Cd19"
"C3_Cd46","C3","Cd46","C3","Cd46","C3_Cd46"
"C3_Cd81","C3","Cd81","C3","Cd81","C3_Cd81"
"C3_Cr1","C3","Cr1","C3",NA,"C3_NA"
"C3_Ifitm1","C3","Ifitm1","C3","Gm45717","C3_Gm45717"
"C3_Ifitm1","C3","Ifitm1","C3","Ifitm7","C3_Ifitm7"
"C3_Ifitm1","C3","Ifitm1","C3","Ifitm6","C3_Ifitm6"
